AccidentType,Date,Time,Reason
station rouverte,2019/5/10,13:04:05,there is no reason
station rouverte,2019/5/1,17:34:33,there is no reason
station rouverte,2019/5/1,17:31:44,there is no reason
station rouverte,2019/4/28,20:37:34,there is no reason
station rouverte,2019/4/18,11:43:39,there is no reason
station rouverte,2019/4/18,9:16:35,there is no reason
station rouverte,2018/12/15,17:33:40,there is no reason
rame stationne,2019/11/22,17:30:36,Passenger reason
rame stationne,2019/11/20,16:50:35,Passenger reason
rame stationne,2019/10/15,8:53:34,Passenger reason
rame stationne,2019/10/10,20:39:33,Technique reason
rame stationne,2019/10/9,20:46:33,Passenger reason
rame stationne,2019/9/19,9:36:43,Technique reason
rame stationne,2019/9/16,18:57:37,Passenger reason
rame stationne,2019/9/2,8:26:48,Passenger reason
rame stationne,2019/6/25,8:06:02,Passenger reason
rame stationne,2019/6/9,13:21:31,Passenger reason
rame stationne,2019/6/8,19:25:35,Passenger reason
rame stationne,2019/6/7,20:11:39,Passenger reason
rame stationne,2019/4/20,8:17:31,Passenger reason
rame stationne,2019/3/31,16:30:33,Passenger reason
rame stationne,2019/3/5,7:54:35,Passenger reason
rame stationne,2019/2/7,11:20:35,Passenger reason
rame stationne,2018/12/24,11:04:02,Passenger reason
rame stationne,2018/12/19,19:41:00,Techique reason
rame stationne,2018/12/17,17:59:23,Passenger reason
rame stationne,2018/12/17,15:48:45,Passenger reason
rame stationne,2018/11/15,7:35:14,Passenger reason
rame stationne,2018/11/10,15:32:29,Passenger reason
rame stationne,2018/10/13,8:11:36,Passenger reason
rame stationne,2018/10/11,17:18:41,Technique reason
rame stationne,2018/8/26,17:45:44,Passenger reason
rame stationne,2018/8/20,8:47:09,Passenger reason
rame stationne,2018/8/17,12:24:22,Passenger reason
rame repartie,2019/11/20,16:56:33,there is no reason
rame repartie,2019/10/15,8:59:37,there is no reason
rame repartie,2019/6/25,9:14:36,there is no reason
rame repartie,2019/6/8,19:28:36,there is no reason
rame repartie,2019/6/7,20:36:34,there is no reason
rame repartie,2019/4/20,8:24:33,there is no reason
rame repartie,2019/3/31,16:44:31,there is no reason
rame repartie,2018/12/24,11:06:47,there is no reason
rame repartie,2018/12/17,16:04:43,there is no reason
rame repartie,2018/11/10,15:45:35,there is no reason
rame repartie,2018/8/26,17:56:53,there is no reason
perturbation,2019/11/25,9:06:36,Techique reason
perturbation,2019/11/25,6:10:42,Techique reason
perturbation,2019/11/22,20:17:31,Passenger reason
perturbation,2019/11/22,17:40:48,Passenger reason
perturbation,2019/11/21,17:25:45,Passenger reason
perturbation,2019/11/21,17:18:43,Passenger reason
perturbation,2019/11/21,8:03:22,Techique reason
perturbation,2019/11/21,6:36:26,Techique reason
perturbation,2019/11/20,17:07:57,Passenger reason
perturbation,2019/11/18,18:15:41,Operation problem
perturbation,2019/11/18,10:18:32,Security reason
perturbation,2019/11/16,11:20:39,Passenger reason
perturbation,2019/11/15,18:41:32,Techique reason
perturbation,2019/11/14,19:21:32,Passenger reason
perturbation,2019/11/12,17:27:34,Security reason
perturbation,2019/11/12,9:38:36,Track construction
perturbation,2019/11/12,9:12:35,Track construction
perturbation,2019/11/12,5:38:35,Track construction
perturbation,2019/11/9,8:19:42,Passenger reason
perturbation,2019/11/9,7:27:35,Passenger reason
perturbation,2019/11/8,20:20:36,Techique reason
perturbation,2019/11/7,6:12:35,Techique reason
perturbation,2019/11/5,15:57:30,Technique reason
perturbation,2019/11/5,9:28:36,Operation problem
perturbation,2019/11/5,9:17:34,Operation problem
perturbation,2019/11/2,6:52:38,Passenger reason
perturbation,2019/11/1,16:42:35,Technique reason
perturbation,2019/10/31,18:14:41,Passenger reason
perturbation,2019/10/31,17:13:40,Passenger reason
perturbation,2019/10/30,17:08:52,Security reason
perturbation,2019/10/30,7:09:32,Technique reason
perturbation,2019/10/30,6:29:36,Techique reason
perturbation,2019/10/29,18:35:47,Techique reason
perturbation,2019/10/29,14:21:31,Passenger reason
perturbation,2019/10/29,9:15:36,Passenger reason
perturbation,2019/10/29,7:46:36,Techique reason
perturbation,2019/10/29,6:09:35,Technique reason
perturbation,2019/10/29,5:36:37,Technique reason
perturbation,2019/10/28,20:54:37,Passenger reason
perturbation,2019/10/25,20:24:35,Operation problem
perturbation,2019/10/25,20:17:33,Operation problem
perturbation,2019/10/23,18:03:54,Passenger reason
perturbation,2019/10/23,8:53:38,Passenger reason
perturbation,2019/10/23,8:15:50,Passenger reason
perturbation,2019/10/20,8:53:19,Social movement
perturbation,2019/10/19,6:25:45,Social movement
perturbation,2019/10/18,18:18:36,Social movement
perturbation,2019/10/18,7:42:23,Social movement
perturbation,2019/10/18,7:00:15,Social movement
perturbation,2019/10/18,5:27:44,Social movement
perturbation,2019/10/17,20:40:33,Technique reason
perturbation,2019/10/17,11:08:37,there is no reason
perturbation,2019/10/17,10:51:33,there is no reason
perturbation,2019/10/16,7:22:32,Passenger reason
perturbation,2019/10/14,15:06:32,Techique reason
perturbation,2019/10/14,8:29:36,Techique reason
perturbation,2019/10/11,14:07:32,Techique reason
perturbation,2019/10/11,7:43:35,Passenger reason
perturbation,2019/10/10,20:59:35,Techique reason
perturbation,2019/10/10,17:47:41,Passenger reason
perturbation,2019/10/10,17:03:39,Passenger reason
perturbation,2019/10/10,17:00:47,Passenger reason
perturbation,2019/10/10,7:39:38,Passenger reason
perturbation,2019/10/9,20:57:36,Passenger reason
perturbation,2019/10/9,17:36:33,Techique reason
perturbation,2019/10/9,8:46:31,Passenger reason
